,-_,-a,-ai,-an,-ang,-ao,-e,-(e)i,-(e)n,-(e)ng,-er,-o,-ong,-(o)u
_-,,a,ai,an,ang,ao,e,ei,en,eng,er,o,,ou
b-,,ba,bai,ban,bang,bao,,bei,ben,beng,,bo,,
bi-,bi,,,bian,,biao,bie,,bin,bing,,,,
bu-,bu,,,,,,,,,,,,,
c-,ci,ca,cai,can,cang,cao,ce,,cen,ceng,,,cong,cou
ch-,chi,cha,chai,chan,chang,chao,che,,chen,cheng,,,chong,chou
chu-,chu,chua,chuai,chuan,chuang,,,chui,chun,,,chuo,,
cu-,cu,,,cuan,,,,cui,cun,,,cuo,,
d-,,da,dai,dan,dang,dao,de,dei,den,deng,,,dong,dou
di-,di,dia,,dian,,diao,die,,,ding,,,,diu
du-,du,,,duan,,,,dui,dun,,,duo,,
f-,,fa,,fan,fang,,,fei,fen,feng,,fo,,fou
fu-,fu,,,,,,,,,,,,,
g-,,ga,gai,gan,gang,gao,ge,gei,gen,geng,,,gong,gou
gu-,gu,gua,guai,guan,guang,,,gui,gun,,,guo,,
h-,,ha,hai,han,hang,hao,he,hei,hen,heng,,,hong,hou
hu-,hu,hua,huai,huan,huang,,,hui,hun,,,huo,,
ji-,ji,jia,,jian,jiang,jiao,jie,,jin,jing,,,jiong,jiu
ju-,ju,,,juan,,,jue,,jun,,,,,
k-,,ka,kai,kan,kang,kao,ke,,ken,keng,,,kong,kou
ku-,ku,kua,kuai,kuan,kuang,,,kui,kun,,,kuo,,
l-,,la,lai,lan,lang,lao,le,lei,,leng,,lo,long,lou
li-,li,lia,,lian,liang,liao,lie,,lin,ling,,,,liu
lu-,lu,,,luan,,,,,lun,,,luo,,
lü-,lü,,,,,,lüe,,,,,,,
m-,,ma,mai,man,mang,mao,me,mei,men,meng,,mo,,mou
mi-,mi,,,mian,,miao,mie,,min,ming,,,,miu
mu-,mu,,,,,,,,,,,,,
n-,,na,nai,nan,nang,nao,ne,nei,nen,neng,,,nong,nou
ni-,ni,,,nian,niang,niao,nie,,nin,ning,,,,niu
nu-,nu,,,nuan,,,,,,,,nuo,,
nü-,nü,,,,,,nüe,,,,,,,
p-,,pa,pai,pan,pang,pao,,pei,pen,peng,,po,,pou
pi-,pi,,,pian,,piao,pie,,pin,ping,,,,
pu-,pu,,,,,,,,,,,,,
qi-,qi,qia,,qian,qiang,qiao,qie,,qin,qing,,,qiong,qiu
qu-,qu,,,quan,,,que,,qun,,,,,
r-,ri,,,ran,rang,rao,re,,ren,reng,,,rong,rou
ru-,ru,rua,,ruan,,,,rui,run,,,ruo,,
s-,si,sa,sai,san,sang,sao,se,,sen,seng,,,song,sou
sh-,shi,sha,shai,shan,shang,shao,she,shei,shen,sheng,,,,shou
shu-,shu,shua,shuai,shuan,shuang,,,shui,shun,,,shuo,,
su-,su,,,suan,,,,sui,sun,,,suo,,
t-,,ta,tai,tan,tang,tao,te,tei,,teng,,,tong,tou
ti-,ti,,,tian,,tiao,tie,,,ting,,,,
tu-,tu,,,tuan,,,,tui,tun,,,tuo,,
w-,wu,wa,wai,wan,wang,,,wei,wen,weng,,wo,,
xi-,xi,xia,,xian,xiang,xiao,xie,,xin,xing,,,xiong,xiu
xu-,xu,,,xuan,,,xue,,xun,,,,,
y-,yi,ya,yai,yan,yang,yao,ye,,yin,ying,,yo,yong,you
yu-,yu,,,yuan,,,yue,,yun,,,,,
z-,zi,za,zai,zan,zang,zao,ze,zei,zen,zeng,,,zong,zou
zh-,zhi,zha,zhai,zhan,zhang,zhao,zhe,zhei,zhen,zheng,,,zhong,zhou
zhu-,zhu,zhua,zhuai,zhuan,zhuang,,,zhui,zhun,,,zhuo,,
zu-,zu,,,zuan,,,,zui,zun,,,zuo,,
