"任務領域
Context","詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",
個人資料,零,líng ,N,
個人資料,爺爺,yéye,N,
個人資料,奶奶,năinai ,N,
個人資料,家庭,jiātíng ,N,
個人資料,別人,biérén ,N,
個人資料,大人,dàrén ,N,
個人資料,老人,lăorén ,N,
個人資料,年輕,niánqīng ,Vs,
個人資料,男生,nánshēng ,N,
個人資料,女生,nǚshēng ,N,
個人資料,號碼,hàomă ,N,
個人資料,在,zài ,Adv,
個人資料,哪,na,Ptc,
個人資料,地址,dìzhĭ,N,
個人資料,市,shì,N,
個人資料,名,míng ,M,
個人資料,城市/城,chéngshì/chéng,N,
個人資料,街,jiē ,N,
個人資料,電子郵件,diàn,N,
個人資料,禮拜,lĭbài ,N,
個人資料,從前,cóngqián ,N,
個人資料,剛剛/剛,gānggāng/gāng,Adv,
個人資料,一會兒/一會,yīhuĭr/yīhuĭ,N,
個人資料,結婚,jiéhūn ,Vp-sep,
個人資料,春天/春,chūntiān/chūn ,N,
個人資料,夏天/夏,xiàtiān/xià ,N,
個人資料,秋天/秋,qiūtiān/qiū ,N,
個人資料,冬天/冬,dōngtiān/dōng ,N,
個人資料,笑,xiào ,Vi,
個人資料,哭,kū ,Vi,
個人資料,高興,gāoxìng ,Vs,
個人資料,緊張,jĭnzhāng ,Vs,
個人資料,可愛,kěài ,Vs,
個人資料,生氣,shēngqì ,Vs-sep,
個人資料,難過,nánguò ,Vs,
個人資料,聰明,cōngmíng ,Vs,
個人資料,相信,xiāngxìn ,Vst,
個人資料,經驗,jīngyàn ,N,
個人資料,辛苦,xīnkŭ,Vs,
個人資料,願意,yuànyì ,Vaux,
個人資料,習慣,xíguàn ,N / Vs,
個人資料,當然,dāngrán ,Adv,
個人資料,更,gèng ,Adv,
工作,醫院,yīyuàn ,N,
工作,公司,gōngsī ,N,
工作,辦公室,bàngōngshì ,N,
工作,工人,gōngrén ,N,
工作,護士,hùshì ,N,
工作,司機,sījī ,N,
工作,老闆/老板,lăobăn,N,
工作,上班,shàngbān ,V-sep,
工作,下班,xiàbān ,V-sep,
工作,能力,nénglì ,N,
工作,努力,nǔlì ,Vs,
工作,準備,zhǔnbèi ,V,
工作,打算,dăsuàn ,Vaux,
工作,計畫/計劃,jìhuà,V / N,
工作,機會,jīhuì ,N,
工作,如果,rúguŏ ,Conj,
教育,小學,xiăoxué ,N,
教育,高中,gāozhōng ,N,
教育,上學,shàngxué ,V-sep,
教育,開學,kāixué ,Vp,
教育,班,bān ,M / N,
教育,年級,niánjí ,N,
教育,作業,zuòyè ,N,
教育,成績,chéngjī ,N,
教育,語言,yǔyán ,N,
教育,華語/華文,huáyǔ/huáwén ,N,
教育,黑板,hēibăn ,N,
教育,課本,kèběn ,N,
教育,字典,zìdiăn ,N,
教育,注意,zhùyì ,Vst,
教育,讀書,dúshū ,V-sep,
教育,回答,huídá,V/N,
教育,答,dá,V,
教育,句,jù ,M,
教育,圖,tú ,N,
教育,部分(˙ㄈㄣ)/部份(˙ㄈㄣ),bùfen,Det / N,
教育,想法,xiăngfă ,N,
教育,學習,xuéxí ,V,
教育,練習,liànxí ,V / N,
教育,參加,cānjiā ,V,
教育,文化,wénhuà ,N,
教育,認為,rènwéi ,V,
教育,清楚,qīngchŭ,Vs,
教育,決定,juédìng ,N / Vp,
教育,記得,jìde,Vst,
教育,忘,wàng ,Vp,
教育,棒,bàng,Vs,
教育,行,xíng,Vs,
教育,行,háng ,M,
教育,講,jiăng ,V,
教育,加,jiā,V,
教育,算,suàn ,V,
教育,交,jiāo ,V,
教育,借,jiè ,V,
教育,還,huán,V,
教育,辦法,bànfă ,N,
教育,方法,fāngfă ,N,
教育,有用,yŏuyòng ,Vs,
教育,進步,jìnbù ,Vp,
教育,圖書館,túshūguăn ,N,
教育,洗手間/廁所,xĭshŏujiān/cèsuŏ,N,
教育,宿舍,sùshè,N,
房屋與家庭、環境,屋(子),wū(zi) ,N,
房屋與家庭、環境,間,jiān ,M,
房屋與家庭、環境,大樓,dàlóu ,N,
房屋與家庭、環境,樓上,lóushàng ,N,
房屋與家庭、環境,樓下,lóuxià ,N,
房屋與家庭、環境,樓梯,lóutī ,N,
房屋與家庭、環境,電梯,diàntī ,N,
房屋與家庭、環境,廚房,chúfáng ,N,
房屋與家庭、環境,客廳,kètīng ,N,
房屋與家庭、環境,窗(子)/窗戶(˙ㄏㄨ),chuāng(zi )/chuānghu,N,
