"任務領域
Context","詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",
個人資料,出生,chūshēng ,Vp,
個人資料,不同,bùtóng ,Vs,
個人資料,住址,zhùzhĭ,N,
個人資料,母語,mǔyǔ,N,
個人資料,表,biăo ,N,
個人資料,鐘,zhōng,M,
個人資料,鐘/時鐘,zhōng/shízhōng,N,
個人資料,傳真,chuánzhēn ,N,
個人資料,白天(˙ㄊㄧㄢ),báitian ,N,
個人資料,半夜,bànyè ,N,
個人資料,夜晚,yèwăn ,N,
個人資料,日子,rìzi,N,
個人資料,夜,yè ,N,
個人資料,春季,chūnjì ,N,
個人資料,時,shí ,N,
個人資料,不久,bùjiŭ,N,
個人資料,剛才,gāngcái ,Adv,
個人資料,早點,zăodiăn ,Adv,
個人資料,正好,zhènghăo ,Adv / Vs,
個人資料,年紀,niánjì ,N,
個人資料,男人,nánrén ,N,
個人資料,女人,nǚrén ,N,
個人資料,父親,fùqīn ,N,
個人資料,母親,mǔqīn ,N,
個人資料,父母,fùmŭ ,N,
個人資料,外公,wàigōng ,N,
個人資料,外婆,wàipó ,N,
個人資料,伯伯(˙ㄅㄛ)/伯,bóbo/bó ,N,
個人資料,伯父,bófù ,N,
個人資料,伯母,bómŭ ,N,
個人資料,叔叔(˙ㄕㄨ)/叔,shúshu/shú,N,
個人資料,姑姑(˙ㄍㄨ),gūgu,N,
個人資料,孫女,sūnnǚ ,N,
個人資料,孫子,sūnzi ,N,
個人資料,關係,guānxì ,N,
個人資料,害怕,hàipà,Vs,
個人資料,開心,kāixīn ,Vs,
個人資料,擔心,dānxīn ,Vst,
個人資料,傷心,shāngxīn ,Vs-sep,
個人資料,美麗,měilì ,Vs,
個人資料,帥,shuài ,Vs,
個人資料,笨,bèn ,Vs,
個人資料,認真,rènzhēn ,Vs,
個人資料,敢,găn ,Vaux,
個人資料,急,jí ,Vs,
個人資料,禮貌,lĭmào ,N,
個人資料,害羞,hàixiū ,Vs,
個人資料,關心,guānxīn ,Vst,
個人資料,心情,xīnqíng ,N,
個人資料,幸福,xìngfú ,Vs,
個人資料,差,cha,Vs-pred,
個人資料,兄弟,xiōngdì ,N,
個人資料,阿姨,āyí,N,
個人資料,身邊,shēnbiān ,N,
個人資料,身高,shēngāo ,N,
個人資料,長大,zhăngdà ,Vp,
工作,經理,jīnglĭ,N,
工作,教書,jiāoshū ,V-sep,
工作,開會,kāihuì ,V-sep,
工作,加班,jiābān ,V-sep,
工作,危險,wéixiăn ,Vs,
工作,安全,ānquán ,Vs / N,
工作,成功,chénggōng ,Vs,
工作,報告,bàogào ,V / N,
工作,資料,zīliào ,N,
工作,管理,guănlĭ,V,
工作,做法/作法,zuòfă ,N,
工作,看法,kànfă,N,
工作,辦,bàn ,V,
工作,打工,dăgōng ,V-sep,
工作,選,xuăn ,V,
工作,嚴重,yánzhòng ,Vs,
工作,正式,zhèngshì ,Vs,
教育,查,chá ,V,
教育,考,kăo ,V,
教育,例如,lìrú ,Prep,
教育,例(子),lì(zi) ,N,
教育,題目,tímù ,N,
教育,題,tí ,M,
教育,答案,dáàn ,N,
教育,念書/唸書,niànshū ,V-sep,
教育,歷史,lìshĭ,N,
教育,數學,shùxué ,N,
教育,書法,shūfă ,N,
教育,英語,yīngyǔ,N,
教育,作文,zuòwén ,N / Vi,
教育,漢字,hànzì ,N,
教育,詞,cí ,N,
教育,文法,wénfă ,N,
