"任務領域
Context","詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",
個人資料,我,wŏ,N,
個人資料,你/妳,nĭ,N,
個人資料,他/她,tā,N,
個人資料,我們,wŏmen ,N,
個人資料,你們/妳們,nĭmen ,N,
個人資料,他們/她們,tāmen,N,
個人資料,您,nín ,N,
個人資料,誰,shéi ,N,
個人資料,姓名,xìngmíng ,N,
個人資料,人,rén ,N,
個人資料,國,guó ,N,
個人資料,中國,zhōngguó ,N,
個人資料,美國,měiguó ,N,
個人資料,日本,rìběn ,N,
個人資料,台灣/臺灣,táiwān,N,
個人資料,名字(˙ㄗ),míngzi,N,
個人資料,家,jiā ,N,
個人資料,電話,diànhuà ,N,
個人資料,時間,shíjiān ,N,
個人資料,小時,xiăoshí ,N,
個人資料,現在,xiànzài ,N,
個人資料,今年,jīnnián ,N,
個人資料,今天,jīntiān ,N,
個人資料,明天,míngtiān ,N,
個人資料,昨天,zuótiān ,N,
個人資料,早上,zăoshàng ,N,
個人資料,上午,shàngwŭ,N,
個人資料,中午,zhōngwŭ,N,
個人資料,下午,xiàwŭ,N,
個人資料,晚上,wănshàng ,N,
個人資料,一,yī ,N,
個人資料,二,èr ,N,
個人資料,三,sān ,N,
個人資料,四,sì ,N,
個人資料,五,wŭ,N,
個人資料,六,liù ,N,
個人資料,七,qī ,N,
個人資料,八,bā ,N,
個人資料,九,jiŭ,N,
個人資料,十,shí ,N,
個人資料,兩,liăng ,N,
個人資料,時候,shíhòu ,N,
個人資料,百,băi ,N,
個人資料,半,bàn ,N,
個人資料,千,qiān ,N,
個人資料,爸爸/爸,bàba/bà,N,
個人資料,媽媽/媽,māma/mā,N,
個人資料,哥哥/哥,gēge/gē,N,
個人資料,弟弟/弟,dìdi/dì,N,
個人資料,姊姊/姐姐/姊/姐,jiějie/jiě,N,
個人資料,妹妹/妹,mèimei/mèi,N,
個人資料,小孩(子),xiăohái(zi) ,N,
個人資料,的,de ,Ptc,
個人資料,第,dì ,Det,
個人資料,分,fēn,M,
個人資料,點,diăn,M,
個人資料,個,ge,M,
個人資料,歲,suì ,M,
個人資料,年,nián ,M,
個人資料,住,zhù ,V,
個人資料,來,lái ,V,
個人資料,是,shì ,Vst,
個人資料,姓,xìng ,Vst,
個人資料,覺得,juéde,Vst,
個人資料,喜歡,xĭhuān ,Vst,
個人資料,打電話,dădiànhuà ,Vi,
個人資料,漂亮,piàolìang,Vs,
個人資料,高,gāo ,Vs,
個人資料,老,lăo ,Vs,
個人資料,好,hăo ,Adv,
個人資料,很,hěn ,Adv,
個人資料,真,zhēn ,Adv,
工作,電腦,diànnăo ,N,
工作,老師,lăoshī ,N,
工作,買,măi ,V,
工作,忙,máng ,Vs,
教育,學生,xuéshēng ,N,
教育,大學,dàxué ,N,
教育,學校,xuéxiào ,N,
教育,中文,zhōngwén ,N,
教育,同學,tóngxué ,N,
教育,字,zì ,N,
教育,筆,bĭ,N,
教育,學,xué ,V,
教育,問,wèn ,V,
教育,說,shuō ,V,
教育,寫,xiě ,V,
教育,聽,tīng ,V,
教育,對,duì ,Vs,
教育,能,néng ,Vaux,
教育,可以,kěyĭ,Vaux,
教育,上課,shàngkè ,V-sep,
教育,知道,zhīdào ,Vst,
房屋與家庭、環境,電視(機),diànshì(jī) ,N,
房屋與家庭、環境,水,shuĭ,N,
日常生活,久,jiŭ,Vs-pred,
閒暇時間、娛樂,早,zăo ,Vs,
閒暇時間、娛樂,再,zài ,Adv,
閒暇時間、娛樂,書,shū ,N,
閒暇時間、娛樂,電影,diànyĭng ,N,
閒暇時間、娛樂,以前,yĭqián ,N,
閒暇時間、娛樂,以後,yĭhòu ,N,
閒暇時間、娛樂,走,zŏu ,V,
閒暇時間、娛樂,等,děng ,V,
閒暇時間、娛樂,看,kàn ,V,
閒暇時間、娛樂,就,jiù ,Adv,
與他人的關係,什麼/甚麼,shénme,N,
與他人的關係,朋友,péngyŏu ,N,
與他人的關係,東西,dōngxi ,N,
與他人的關係,吧,ba ,Ptc,
與他人的關係,呢,ne ,Ptc,
與他人的關係,嗎,ma,Ptc,
與他人的關係,找,zhăo ,V,
與他人的關係,做,zuò ,V,
與他人的關係,再見,zàijiàn ,Vi,
與他人的關係,怎麼樣,zěnmeyàng ,Vs,
與他人的關係,叫,jiào ,Vst / V,
與他人的關係,謝謝,xièxie,Vst,
與他人的關係,對不起,duìbùqĭ,,
與他人的關係,請問,qĭngwèn ,,
旅行,這,zhè ,Det,
旅行,那,nà ,Det,
旅行,公共汽車/公車,gōnggòngqìchē/gōngchē ,N,
旅行,車(子),chē(zi) ,N,
旅行,到,dào ,V,
旅行,去,qù ,V,
旅行,回,huí ,V,
旅行,坐,zuò ,Vi,
旅行,這裡/這裏/這兒,zhèlĭ/zhèr ,N,
旅行,那裡/那裏/那兒,nàlĭ/nàr ,N,
旅行,哪裡/哪裏/哪兒,nălĭ/năr ,N,
旅行,開車,kāichē ,V-sep,
購物,錢,qián ,N,
購物,多少,duōshăo ,N,
購物,給,gěi ,V,
購物,貴,guì ,Vs,
購物,便宜,piányí ,Vs,
購物,大,dà ,Vs,
購物,小,xiăo ,Vs,
購物,難,nán ,Vs,
購物,容易,róngyì ,Vs,
購物,有,yŏu ,Vst,
購物,想,xiăng ,Vst,
飲食,幾,jĭ,Det,
飲食,塊,kuài ,M,
飲食,位,wèi ,M,
飲食,飯,fàn ,N,
飲食,吃,chī ,V,
飲食,請,qĭng ,V,
其他,也,yě ,Adv,
其他,不,bù,Adv,
其他,沒,méi ,Adv,
其他,都,dōu ,Adv,
其他,只,zhĭ,Adv,
其他,可是,kěshì ,Conj,
其他,還是,háishì ,Conj,
其他,了,le,Ptc,
其他,得,de,Ptc,
其他,過,guò ,Ptc,
其他,沒有,méiyŏu,Ptc,
