"任務領域
Context","詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",
個人資料,男,nán ,N,
個人資料,女,nǚ ,N,
個人資料,孩子,háizi,N,
個人資料,小姐,xiăojiě ,N,
個人資料,先生,xiānshēng ,N,
個人資料,太太,tàitai ,N,
個人資料,女兒,nǚér ,N,
個人資料,兒子,érzi,N,
個人資料,大家,dàjiā ,N,
個人資料,路,lù ,N,
個人資料,手機,shŏujī ,N,
個人資料,明年,míngnián ,N,
個人資料,去年,qùnián ,N,
個人資料,生日,shēngrì ,N,
個人資料,月,yuè ,N,
個人資料,日,rì ,N,
個人資料,星期,xīngqí,N,
個人資料,星期天/星期日,xīngqítiān/xīngqírì ,N,
個人資料,禮拜天,lĭbàitiān ,N,
個人資料,週末/周末,zhōumò ,N,
個人資料,號,hào ,M,
個人資料,天,tiān ,N / M,
個人資料,從,cóng ,Prep,
個人資料,在,zài ,Prep / Vst,
個人資料,愛,ài ,Vst,
個人資料,快樂,kuàilè ,Vs,
個人資料,太,tài ,Adv,
個人資料,公園,gōngyuán ,N,
個人資料,國家,guójiā ,N,
個人資料,分鐘,fēnzhōng,M,
個人資料,家人,jiārén ,N,
個人資料,胖,pàng ,Vs,
個人資料,矮,ăi ,Vs,
個人資料,瘦,shòu ,Vs,
個人資料,萬,wàn ,N,
個人資料,鐘頭,zhōngtóu ,N,
個人資料,晚,wăn ,N,
個人資料,前天,qiántiān ,N,
個人資料,後天,hòutiān ,N,
個人資料,前年,qiánnián ,N,
個人資料,後年,hòunián ,N,
個人資料,自己,zìjĭ,N,
個人資料,它,tā,N,
個人資料,它們,tāmen ,N,
個人資料,最,zuì ,Adv,
個人資料,怕,pà ,Vst,
個人資料,美,měi ,Vs,
個人資料,應該/應,yīnggāi /yīng,Vaux,
個人資料,真的,zhēnde ,Adv,
個人資料,非常,fēicháng ,Adv,
工作,工作,gōngzuò ,N,
工作,醫生/醫師,yīshēng/yīshī ,N,
教育,一點/一點兒/一點點,yīdiăn/yīdiănr/yīdiăndiăn,Det,
教育,一些,yīxiē ,Det,
教育,本,běn ,M,
教育,張,zhāng ,M,
教育,英文,yīngwén ,N,
教育,紙,zhĭ,N,
教育,問題,wèntí ,N,
教育,意思,yìsi ,N,
教育,餐廳/飯館,cāntīng/fànguăn,N,
教育,畫/畫兒,huà/huàr,V / N,
教育,讀,dú ,V,
教育,會,huì ,Vaux,
教育,為什麼,wèishénme ,Vs,
教育,下課,xiàkè ,V-sep,
教育,說話,shuōhuà ,V-sep,
教育,考試,kăoshì ,V-sep / N,
教育,懂,dŏng ,Vst,
教育,念/唸,niàn ,V,
教育,課,kè ,N,
教育,教,jiāo,V,
教育,告訴,gàosù ,V,
教育,錯,cuò ,Vp,
教育,功課,gōngkè ,N,
教育,教室,jiàoshì ,N,
教育,句子,jùzi ,N,
教育,休息,xiūxí ,Vi,
房屋與家庭、環境,房(子),fáng(zi) ,N,
房屋與家庭、環境,房間,fángjiān ,N,
房屋與家庭、環境,樓,lóu ,M,
房屋與家庭、環境,門,mén ,N,
房屋與家庭、環境,門口,ménkŏu ,N,
房屋與家庭、環境,桌(子),zhuō(zi) ,N,
房屋與家庭、環境,椅(子),yĭ(zi),N,
房屋與家庭、環境,床,chuáng ,N,
房屋與家庭、環境,開,kāi ,V,
房屋與家庭、環境,低,dī,Vs,
房屋與家庭、環境,不錯,bùcuò ,Vs,
房屋與家庭、環境,天氣,tiānqì ,N,
房屋與家庭、環境,空氣,kōngqì ,N,
房屋與家庭、環境,冷,lěng ,Vs,
房屋與家庭、環境,熱,rè ,Vs,
房屋與家庭、環境,雨,yŭ,N,
房屋與家庭、環境,下雨,xiàyŭ,V-sep,
房屋與家庭、環境,風,fēng ,N,
房屋與家庭、環境,山,shān ,N,
房屋與家庭、環境,花/花兒,huā/huār,N,
房屋與家庭、環境,枝,zhī ,M,
房屋與家庭、環境,魚,yú ,N,
房屋與家庭、環境,雞,jī ,N,
房屋與家庭、環境,牛,niú ,N,
房屋與家庭、環境,豬,zhū ,N,
日常生活,咖啡,kāfēi ,N,
日常生活,茶,chá ,N,
日常生活,用,yòng ,V,
日常生活,穿,chuān ,V,
日常生活,起床,qĭchuáng ,Vp,
日常生活,方便,fāngbiàn ,Vs,
日常生活,睡覺,shuìjiào ,V-sep,
日常生活,起來,qĭlái ,Vp,
閒暇時間、娛樂,先,xiān ,Adv,
閒暇時間、娛樂,常常/常,chángcháng/cháng,Adv,
閒暇時間、娛樂,每,měi ,Det,
閒暇時間、娛樂,打,dă ,V,
閒暇時間、娛樂,玩,wán,V,
閒暇時間、娛樂,運動,yùndòng ,Vi / N,
閒暇時間、娛樂,走路,zŏulù ,V-sep,
閒暇時間、娛樂,唱歌,chànggē ,V-sep,
閒暇時間、娛樂,跳,tiào ,Vi,
閒暇時間、娛樂,還,hái ,Adv,
閒暇時間、娛樂,唱,chàng ,V,
閒暇時間、娛樂,歌,gē,N,
閒暇時間、娛樂,跳舞,tiàowŭ,V-sep,
閒暇時間、娛樂,又,yòu ,Adv,
閒暇時間、娛樂,球,qiú,N,
與他人的關係,介紹,jièshào ,V,
與他人的關係,沒關係(˙ㄒㄧ),méiguānxi ,Vs,
與他人的關係,事/事兒,shì/shìr ,N,
與他人的關係,怎麼,zěnme ,Adv,
旅行,哪,nă ,Det,
旅行,裡面/裏面,lĭmiàn ,N,
旅行,上(面),shàng(miàn),N,
