"詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",,
哎,āi ,Ptc,,
唉,āi ,Ptc,,
愛,ài ,N,,
愛情,àiqíng ,N,,
愛惜,àixí ,Vst,,
愛心,àixīn ,N,,
按,àn ,Prep,,
安定,āndìng ,Vs,,
安靜,ānjìng ,Vs,,
安排,ānpái ,N / V,,
安心,ānxīn ,Vs,,
按照,ànzhào ,Prep,,
把,bă ,M,,
白,bái ,Vs,,
白/白白,bái/báibái,Adv,,
白菜,báicài ,N,,
擺,băi ,V,,
榜樣,băngyàng ,N,,
班機,bānjī ,N,,
辦理,bànlĭ,V,,
半天,bàntiān ,N,,
包,bāo ,V,,
包含,bāohán ,Vst,,
寶貝,băobèi,N,,
寶貴,băoguì ,Vs,,
保守,băoshŏu ,Vs,,
保養,băoyăng ,V,,
保證/証,băozhèng ,N / V,,
抱,bào,V,,
抱怨,bàoyuàn ,V,,
報名,bàomíng ,V-sep,,
把握,băwò ,V,,
北方,běifāng ,N,,
被動,bèidòng ,Vs,,
背後,bèihòu ,N,,
背景,bèijĭng ,N,,
輩子,bèizi ,N,,
本,běn ,Det,,
本人,běnrén ,N,,
逼,bī ,V,,
筆,bĭ,M,,
比,bĭ,V,,
鞭炮,biānpào ,N,,
變,biàn ,Vp,,
變成,biànchéng ,Vpt,,
變更,biàngēng ,V,,
變化,biànhuà ,N / Vs,,
便條,biàntiáo ,N,,
表達,biăodá ,V,,
表面,biăomiàn ,N,,
表示,biăoshì ,V,,
表現,biăoxiàn ,N / V,,
表演,biăoyăn ,V / N,,
畢竟,bìjìng ,Adv,,
避免,bìmiăn ,V,,
餅,bĭng ,N,,
病,bìng ,Vp,,
比如/比如說,bĭrú/bĭrúshuō,Prep,,
必要,bìyào ,Vs,,
播,bò ,V,,
博士,bóshì ,N,,
博物館,bówùguăn ,N,,
布,bù ,N,,
不見(了),bùjiàn(le),Vp,,
不得不,bùdébù ,Adv,,
不斷,bùduàn ,Adv / Vs,,
不論,bùlùn ,Conj,,
不滿,bùmăn ,Vs,,
部門,bùmén ,N,,
不如,bùrú ,conj,,
不少,bùshăo ,Det / Vs,,
不幸,bùxìng ,Vs,,
不用說,bùyòngshuō ,Conj,,
布/佈置,bùzhì ,V,,
不足,bùzú ,Vs,,
擦,cā,V,,
猜,cāi,V,,
材料,cáiliào ,N,,
採用,căiyòng ,V,,
餐,cān,M,,
參考,cānkăo ,V,,
草地,căodì,N,,
草原,căoyuán ,N,,
曾,céng ,Adv,,
曾經,céngjīng ,Adv,,
差點/差點兒/差一點兒,chādiăn/chādiănr/chāyīdiănr,Adv,,
差別,chābié ,N,,
嘗試/嚐試,chángshì ,V,,
產品,chănpĭn ,N,,
產生,chănshēng ,Vpt,,
超過,chāoguò ,Vpt,,
超級,chāojí ,Vs-attr,,
吵架,chăojià ,V-sep,,
差異,chāyì ,N,,
車禍,chēhuò ,N,,
趁,chèn ,Prep,,
襯衫,chènshān ,N,,
成,chéng ,Vpt,,
成果,chéngguŏ ,N,,
成就,chéngjiù ,N,,
承認,chéngrèn ,V,,
誠實,chéngshí ,Vs,,
成熟,chéngshóu ,Vs,,
成長,chéngzhăng ,Vs,,
尺,chĭ,M,,
吃喝玩樂,chīhēwánlè ,Vi,,
蟲(子),chóng(zi),N,,
充實,chōngshí ,Vs,,
重新,chóngxīn ,Adv,,
醜,chŏu,Vs,,
抽,chōu ,V,,
初,chū ,N,,
串,chuàn ,M,,
創造,chuàngzào ,V,,
出版,chūbăn ,V,,
出差,chūchāi ,V-sep,,
出發,chūfā ,Vp,,
出現,chūxiàn ,Vp,,
出租,chūzū ,V,,
處理,chŭlĭ,V,,
廚師,chúshī ,N,,
吹,chuī,V,,
此,cĭ,Det,,
刺激,cìjī ,N / Vs,,
從不,cóngbù ,Adv,,
從小,cóngxiăo ,Adv,,
醋,cù ,N,,
寸,cùn ,M,,
存在,cúnzài ,Vi,,
錯,cuò ,N,,
錯誤,cuòwù ,N,,
挫折,cuòzhé ,N,,
達成,dáchéng ,Vpt,,
打架,dăjià ,V-sep,,
大多數,dàduōshù ,Det,,
大方,dàfāng ,Vs,,
大會,dàhuì ,N,,
代表,dàibiăo ,N / V,,
代替,dàitì ,V,,
帶領,dàilĭng ,V,,
單純,dānchún ,Vs,,
淡,dàn ,Vs,,
當場,dāngchăng ,Adv,,
當地,dāngdì ,N,,
當面,dāngmiàn ,Adv,,
當年,dāngnián ,N,,
當天,dàngtiān ,N,,
當作/當做,dàngzuò ,Vst,,
擔任,dānrèn ,V,,
單身,dānshēn ,Vs,,
島,dăo ,N,,
倒,dăo ,V,,
導演,dăoyăn ,N,,
到,dào,Conj / Prep,,
倒,dào ,Adv,,
到底,dàodĭ,Adv / Vs-pred,,
倒是,dàoshì ,Adv,,
道德,dàodé ,N,,
道教,Dàojiào,N,,
道理,dàolĭ,N,,
道歉,dàoqiàn ,V-sep,,
答應,dāyìng ,V,,
打掃,dăsăo ,V,,
打聽,dătīng ,V,,
大小,dàxiăo ,N,,
大約,dàyuē ,Adv,,
打仗,dăzhàng ,V-sep,,
得,dé ,Vaux,,
得意,déyì ,Vs,,
等待,děngdài ,V,,
燈光,dēngguāng ,N,,
敵人,dírén ,N,,
抵達,dĭdá ,V,,
地板,dìbăn ,N,,
地帶,dìdài ,N,,
地理,dìlĭ ,N,,
地球,dìqiú ,N,,
地區,dìqū ,N,,
地攤,dìtān ,N,,
地位,dìwèi ,N,,
地下,dìxià ,N,,
地形,dìxíng ,N,,
點,diăn,M / N / V,,
電車,diànchē ,N,,
電池,diànchí ,N,,
電燈,diàndēng,N,,
調查,diàochá ,V,,
東北,dōngběi ,N,,
東南,dōngnán ,N,,
懂事,dŏngshì ,Vs,,
動物園,dòngwùyuán ,N,,
逗,dòu ,V,,
都市,dūshì ,N,,
毒品,dúpĭn ,N,,
獨特,dútè ,Vs,,
讀者,dúzhě ,N,,
段,duàn ,M,,
堆,duī ,M,,
對,duì ,M / Prep / V,,
對方,duìfāng ,N,,
對話,duìhuà ,N,,
對了,duìle,,,
對象,duìxiàng ,N,,
頓,dùn ,M,,
多多(˙ㄉㄨㄛ)少少,duōduoshăoshăo ,Adv,,
嗯(˙ㄣ),en ,Ptc,,
而,ér ,Conj,,
兒童,értóng ,N,,
發,fā,V,,
發表,fābiăo ,V,,
發財,fācái ,Vp-sep,,
發出,fāchū ,Vpt,,
發達,fādá ,Vs,,
發揮,fāhuī ,V,,
發覺,fājué ,Vpt,,
發明,fāmíng ,N / Vpt,,
犯,fàn ,Vst,,
反而,fănér ,Conj,,
方式,fāngshì ,N,,
房客,fángkè ,N,,
訪問/訪,făngwèn ,V,,
煩惱,fánnăo ,Vs,,
範圍,fànwéi ,N,,
翻譯/翻/譯,fānyì/fān/yì ,V,,
反應,fănyìng ,N,,
發票,fāpiào ,N,,
發脾氣,fāpíqì ,Vi,,
非,fēi ,Adv / Vst,,
費用,fèiyòng ,N,,
豐富,fēngfù ,Vs,,
風格,fēnggé ,N,,
風俗,fēngsú ,N,,
分開,fēnkāi ,Vp,,
佛教,Fójiào,N,,
否則,fŏuzé ,Conj,,
夫婦,fūfù ,N,,
符合,fúhé ,Vst,,
福利,fúlì ,N,,
服裝,fúzhuāng ,N,,
腐敗,fŭbài ,Vs,,
付出,fùchū ,Vpt,,
負擔,fùdān ,N / V,,
複習,fùxí ,V,,
負責,fùzé ,Vs,,
該,gāi ,Vaux,,
改變,găibiàn ,N / V,,
改進,găijìn ,V,,
改善,găishàn ,V,,
改天,găitiān ,Adv,,
蓋,gài ,V,,
概念,gàiniàn ,N,,
趕,găn ,V,,
趕上,gănshàng ,Vpt,,
感動,găndòng ,Vs,,
感想,gănxiăng ,N,,
感謝,gănxiè ,Vst,,
感興趣,gănxìngqù ,Vs,,
鋼琴,gāngqín ,N,,
高速,gāosù ,Vs-attr,,
搞,găo ,V,,
個,ge,Ptc,,
歌曲,gēqŭ  ,N,,
歌星,gēxīng ,N,,
隔壁,gébì ,N,,
個人,gèrén ,N,,
個子/個兒,gèzi/gèr,N,,
給,gěi,Prep,,
革命,gémìng ,Vi,,
跟,gēn ,Prep / V,,
根,gēn ,M / V,,
根據/據,gēnjù/jù ,Prep,,
更加,gèngjiā ,Adv,,
各式各樣,gèshìgèyàng ,Vs-attr,,
各位,gèwèi ,N,,
工廠,gōngchăng ,N,,
公尺,gōngchĭ,M,,
公分,gōngfēn ,M,,
功夫,gōngfu ,N,,
公共,gōnggòng ,Vs-attr,,
公斤,gōngjīn ,M,,
工具,gōngjù ,N,,
公克,gōngkè ,M,,
公里,gōnglĭ,M,,
功能,gōngnéng ,N,,
恭喜,gōngxĭ,V,,
工業,gōngyè ,N,,
公寓,gōngyù ,N,,
工作,gōngzuò,Vi,,
共同,gòngtóng ,Vs-attr,,
貢獻,gòngxiàn ,N / V,,
溝通,gōutōng ,V,,
夠,gòu ,Adv,,
購買,gòumăi ,V,,
姑娘（˙ㄋㄧㄤ）,gūniang,N,,
古,gŭ ,Vs-attr,,
古代,gŭdài ,N,,
古蹟/跡,gŭjī ,N,,
古老,gŭlăo ,Vs,,
顧,gù ,V,,
顧客,gùkè ,N,,
故意,gùyì ,Vs,,
刮,guā ,V,,
乖,guāi,Vs,,
怪,guài ,V / Vs,,
關,guān ,Vp,,
觀察,guānchá ,V,,
觀點,guāndiăn ,N,,
管,guăn ,V,,
廣播,guăngbò ,N / Vi,,
廣場,guăngchăng ,N,,
廣告,guănggào ,N,,
觀念,guānniàn ,N,,
觀眾,guānzhòng ,N,,
規矩,guījŭ ,N,,
規模,guīmó ,N,,
鬼,guĭ,N,,
貴姓,guìxìng,,,
國內,guónèi ,N,,
國外,guówài ,N,,
國王,guówáng ,N,,
國語,guóyŭ ,N,,
過去,guòqù,N / Vi,,
過日子,guòrìzi ,Vi,,
嗨,hāi ,Ptc,,
還是,háishì ,Adv,,
還要,háiyào  ,Adv,,
海報,hăibào  ,N,,
海灘,hăitān  ,N,,
海洋,hăiyáng ,N,,
害,hài ,V,,
航空,hángkōng ,N,,
漢語,hànyŭ,N,,
好,hào ,Vs,,
好好/好好兒,hăohăo/hăohăor,Adv,,
好了,hăole ,Ptc,,
和,hé ,Prep,,
合,hé ,Adv,,
合唱,héchàng ,V,,
黑,hēi,Vs,,
恨,hèn ,Vst,,
恨不得,hènbùde,Vst,,
紅,hóng,Vs,,
紅包,hóngbāo,N,,
紅豆,hóngdòu ,N,,
紅綠燈,hónglǜdēng ,N,,
厚,hòu ,Vs,,
後,hòu ,Det / N,,
忽然/忽,hūrán/hū,Adv,,
糊塗,hútú ,Vs,,
互相,hùxiāng ,Adv,,
護照,hùzhào ,N,,
黃,huáng,Vs,,
花心,huāxīn,Vs,,
花園,huāyuán ,N,,
滑雪,huáxuě,V-sep,,
話題,huàtí ,N,,
化妝品,huàzhuāngpĭn ,N,,
恢復,huīfù ,Vpt,,
回,huí ,M,,
回想,huíxiăng ,V,,
會,huì ,N,,
會場,huìchăng ,N,,
會話,huìhuà ,N,,
會議,huìyì ,N,,
婚禮,hūnlĭ,N,,
婚姻,hūnyīn ,N,,
混亂,hùnluàn ,Vs,,
活,huó ,Vs-attr,,
活動,huódòng ,Vi,,
或許,huòxŭ ,Adv,,
基本,jīběn ,N / Vs,,
基礎,jīchŭ  ,N,,
激動,jīdòng ,Vs,,
基督教,Jīdūjiào,N,,
積極,jījí  ,Vs,,
激烈,jīliè  ,Vs,,
機器,jīqì,N,,
及,jí ,Conj,,
及時,jíshí ,Adv,,
擠,jĭ,V / Vs,,
記,jì ,Vst / V,,
記錄,jìlù ,N / V,,
紀念,jìniàn  ,N / Vst,,
技巧,jìqiăo  ,N,,
繼續,jìxù ,V,,
記憶,jìyì ,N,,
記者,jìzhě ,N,,
家,jiā ,M,,
假,jiă ,Vs,,
架,jià ,M,,
價格,jiàgé ,N,,
肩,jiān ,N,,
肩膀,jiānbăng ,N,,
堅持,jiānchí ,Vs,,
剪,jiăn ,V,,
檢查,jiănchá ,V,,
將來,jiānglái ,N,,
獎學金,jiăngxuéjīn ,N,,
降低,jiàngdī ,Vpt,,
講話,jiănghuà ,V-sep,,
講價,jiăngjià ,Vi,,
講究,jiăngjiù ,Vs,,
醬油,jiàngyóu ,N,,
堅強,jiānqiáng ,Vs,,
減輕,jiănqīng ,Vpt,,
減少,jiănshăo ,Vpt,,
簡直,jiănzhí ,Adv,,
建立,jiànlì ,V,,
建設,jiànshè ,N / V,,
驕傲,jiāoào ,Vs,,
交流,jiāoliú ,Vi,,
郊區,jiāoqū ,N,,
交友,jiāoyŏu ,Vi,,
角度,jiăodù ,N,,
教,jiào ,Vst,,
教材,jiàocái ,N,,
教導,jiàodăo ,V,,
教法,jiàofă ,N,,
教練,jiàoliàn ,N,,
教師,jiàoshī ,N,,
教堂,jiàotáng ,N,,
教訓,jiàoxùn ,N,,
加強,jiāqiáng ,V,,
加入,jiārù ,Vpt,,
家鄉,jiāxiāng ,N,,
家長,jiāzhăng ,N,,
假如,jiărú ,Conj,,
假裝,jiăzhuāng ,V,,
價錢,jiàqián ,N,,
價值,jiàzhí ,N,,
接觸,jiēchù ,V,,
接受,jiēshòu ,V,,
結,jié ,V,,
節,jié ,M,,
節目,jiémù ,N,,
結局,jiéjú ,N,,
解決,jiějué,V,,
姊妹,jiěmèi ,N,,
解釋,jiěshì ,V / N,,
斤,jīn,M,,
金(子),jīn(zi),N,,
緊,jĭn ,Vs,,
僅,jĭn ,Adv,,
僅僅,jĭnjĭn,Adv,,
盡,jìn ,V,,
進,jìn ,V,,
經,jīng ,V,,
