"詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",,
愛好,àihào ,N / Vst,,
愛護,àihù ,Vst,,
愛人,àirén ,N,,
哎呀,āiyā ,Ptc,,
哎喲,āiyāo ,Ptc,,
癌症/癌,áizhèng/ái,N,,
按,àn ,V,,
暗,àn ,Vs,,
案(子),àn(zi) ,N,,
骯髒,āngzāng ,Vs,,
按時,ànshí ,Adv,,
安慰,ānwèi ,V,,
暗中,ànzhōng ,Adv,,
安裝,ānzhuāng ,V,,
熬,áo ,V,,
拔,bá ,V,,
罷工,bàgōng ,Vi,,
敗,bài ,Vp,,
拜,bài ,V,,
拜拜,bàibài,Vi,,
拜訪,bàifăng ,V,,
拜年,bàinián ,V-sep,,
拜託,bàituō ,V,,
擺脫,băituō ,V,,
罷了,bàle ,Ptc,,
拌,bàn ,V,,
般,bān ,,,
磅,bàng ,M,,
棒,bàng ,M,,
棒(子),bàng(zi) ,N,,
辦公,bàngōng ,Vi,,
傍晚,bāngwăn ,N,,
半路,bànlù ,N,,
辦事,bànshì ,Vi,,
半數,bànshù ,Det,,
扮演,bànyăn ,V,,
搬運,bānyùn ,V,,
班長,bānzhăng ,N,,
抱,bào ,Vst,,
報,bào ,V,,
保,băo ,V,,
寶,băo ,N,,
寶寶,băobao,N,,
保持,băochí,V,,
報仇,bàochóu,V-sep,,
保存,băocún,V,,
報答,bàodá,Vpt,,
報到,bàodào,Vi,,
報導,bàodăo,V / N,,
包裹,bāoguŏ,N,,
報警,bàojĭng ,V-sep,,
暴力,bàolì ,N /Vs,,
保留,băoliú ,V,,
抱歉,bàoqiàn,Vs,,
報社,bàoshè ,N,,
保衛,băowèi ,V,,
暴躁,bàozào ,Vs,,
爆炸,bàozhà ,Vp,,
保障,băozhàng ,N / V,,
包裝,bāozhuāng ,N / V,,
把握,băwò ,N,,
備,bèi ,V,,
被(子),bèi(zi) ,N,,
悲劇,bēijù ,N,,
背面,bèimiàn ,N,,
悲痛,bēitòng ,Vs,,
背心,bèixīn ,N,,
奔,bēn ,Vi,,
本來,běnlái ,Vs-attr,,
本領,běnlĭng,N,,
奔跑,bēnpăo ,Vi,,
本身,běnshēn ,N,,
本土,běntŭ ,N,,
笨重,bènzhòng ,Vs,,
閉,bì ,Vi,,
便,biàn ,Adv / N,,
扁,biăn ,Vs,,
編,biān ,V,,
變動,biàndòng ,N / Vp,,
便利,biànlì ,Vs,,
表格,biăogé ,N,,
表情,biăoqíng ,N,,
標題,biāotí ,N,,
表揚,biăoyáng ,V,,
標誌,biāozhì ,N,,
彼此,bĭcĭ ,N,,
筆記,bĭjì ,N,,
比較,bĭjiào ,N / V,,
比例,bĭlì ,N,,
並,bìng ,Adv / Conj,,
丙,bĭng ,N,,
冰,bīng ,Vs,,
病毒,bìngdú ,N,,
病房,bìngfáng ,N,,
並且,bìngqiě ,Conj,,
病情,bìngqíng ,N,,
筆試,bĭshì ,N / Vi,,
鼻涕,bítì ,N,,
必須,bìxū ,Vs-attr,,
必要,bìyào ,N,,
薄,bó ,Vs,,
撥,bō ,V,,
菠菜,bōcài ,N,,
波動,bōdòng ,Vi,,
玻璃,bōlí,N,,
薄弱,bóruò ,Vs,,
捕,bŭ ,V,,
補,bŭ ,V,,
不安,bùān ,Vs,,
補償,bŭcháng ,V,,
不成,bùchéng ,Vs-pred,,
補充,bŭchōng ,V,,
不大,bùdà ,Adv,,
不當,bùdàng ,Vs,,
不到,bùdào ,Vst,,
不得已,bùdéyĭ,Vs,,
部隊,bùduì ,N,,
不敢當,bùgăndāng ,Vs,,
布告/佈告,bùgào,N,,
布告欄/佈告欄,bùgàolán ,N,,
不顧,bùgù ,Vst,,
不見得,bùjiànde,Adv,,
不僅,bùjĭn ,Conj,,
